iterations,time,accuracy
1.0,0.0,0.10546875
22.0,7.8797547817230225,0.162109375
43.0,15.767512798309326,0.23111979166666666
64.0,23.75477433204651,0.2578125
85.0,31.949029684066772,0.2936197916666667
106.0,39.96620512008667,0.3046875
127.0,47.691229581832886,0.3541666666666667
148.0,55.62064528465271,0.341796875
169.0,63.56566286087036,0.3938802083333333
190.0,71.45069885253906,0.4029947916666667
211.0,79.53358721733093,0.4114583333333333
232.0,87.36502408981323,0.41015625
253.0,95.43370699882507,0.412109375
274.0,103.43974781036377,0.4459635416666667
295.0,111.23915719985962,0.49609375
316.0,119.05521297454834,0.4361979166666667
337.0,126.91762137413025,0.4459635416666667
358.0,134.83197593688965,0.5123697916666666
379.0,142.79976272583008,0.5104166666666666
400.0,150.7292513847351,0.515625
421.0,158.56555223464966,0.5266927083333334
