iterations,time,accuracy
1.0,0.0,0.138671875
22.0,8.061522483825684,0.267578125
43.0,15.61717939376831,0.31640625
64.0,23.84979557991028,0.3645833333333333
85.0,32.24600052833557,0.3854166666666667
106.0,40.394896268844604,0.404296875
127.0,48.46214199066162,0.4427083333333333
148.0,56.544243574142456,0.4459635416666667
169.0,64.60702610015869,0.4869791666666667
190.0,72.78082919120789,0.4765625
211.0,80.48895525932312,0.4680989583333333
232.0,88.462655544281,0.4954427083333333
253.0,96.75080394744873,0.5169270833333334
274.0,105.1824643611908,0.5305989583333334
295.0,113.52134799957275,0.5397135416666666
316.0,121.59047031402588,0.5748697916666666
337.0,129.80316472053528,0.5592447916666666
358.0,137.9580681324005,0.580078125
379.0,146.16692566871643,0.5859375
400.0,154.07072186470032,0.615234375
421.0,162.50458192825317,0.5748697916666666
